text,text_md5,label
Esto es motivación!!! https://t.co/AKWqBd8cgB,7faf28c5c089c803e427b176c8bdadb9,neutral
@RLadiesLondon ha tenido hoy una charla a tope de nivel! El creador de caret ha estado esta tarde con estas señorit… https://t.co/eQK7GvC0qP,801d7165023507cdf14e54a56e54306f,"polarizado, negativo"
No tengo nada más que pedir si @ladybenko puede ser mi mentora! https://t.co/pqBDGr2Htc,858e527af6957aed1623000d09df522a,neutral
Como se lo pasan en @RLadiesIstanbul!!! https://t.co/V77dEbpWT3,87470020e86afc07eabb1293852fec8e,"polarizado, positivo"
Somos casi 100 R-Ladies en Madrid!! A qué esperas para unirte y que nos conozcamos? https://t.co/YE9s9YZPF7,8ff63c42b91faf2fcfe2cef7b098ce5c,neutral
Esto mola MIL https://t.co/19y6TJrzsY,92dc727c53056a7a9dfa60527eed83be,neutral
"Aprovecho para promocionar el listing de ponentes femeninas de R. Si eres mujer, hablas sobre R, ¿a qué esperas? https://t.co/dvcG69p8bD",9b13acca7a20601e5509fe37bb4f413c,neutral
Veo las reuniones de R-Ladies por el mundo y me da mucha envidia! Nosotras tendremos que esperar hasta el 24! https://t.co/zVBseOLAXk,a394664f3a86b19a40a85c7e74c8a950,neutral
Aquí está!!! https://t.co/dvcG69p8bD y la genial @AnalyticsPanda es la primera que aparece!! Estamos muy contentas en @RLadiesGlobal !!,a40f24af85df69c5d50923200647e602,"polarizado, positivo"
"Vamos a publicar una lista de mujeres ponentes de R en nuestra página, si te interesa aparecer mandanos info sobre ti y un contacto!",a60ee43f57b0f17fed8d2b45a116e877,neutral
"Trabajar con R, en Barcelona y con @ma_salmon de compañera! Yo no me lo pensaba dos veces! https://t.co/3VqdU2ts9b",ac00134d3691bb600725427afab71596,"polarizado, positivo"
No os olvidéis que el 24/10 tenemos nuestro primer #RLadiesMAD en @CampusMadrid y ya estamos pensando en el segundo  https://t.co/efHDelrsfn,ac064cab5028bd8ca1a91764534eedb9,"polarizado, negativo"
WOW! GREAT work! Qué ganas de hacer algún taller en Madrid también!! https://t.co/0LwN3CIzkZ,af0159ea8275c0b15b7c7d1e3d2d7480,neutral
Si estáis interesadas en impartir un taller o dar una charla en una reunión de #RLadiesMAD decidnoslo por aquí o en bea[at]rladies[dot]org !,b9ac404e0ffe85b728a190996991ff0e,"polarizado, negativo"
Ya tenemos políticas y código de conducta para #RLadiesMAD https://t.co/YE9s9YZPF7 ¡Preparándonos para el primer meet-up!,c3f30da3a5bba792270946e97943582a,neutral
Y un tablero de trello con montones de recursos de Data Science! https://t.co/GyFRCPZjoD,cb5f4b9406d53b9d279fe1859dde52fd,"polarizado, positivo"
Aquí os dejo una lista de recursos de Data Science https://t.co/otR6wiIhOm,cd3e0c99c30a6940ff50214c747a0d8b,"polarizado, negativo"
R Consortium ha financiado tres proyectos en julio https://t.co/3MPTblTr8q y R-Ladies es uno de ellos. ¡Únete a nosotras!,d1e19df95eaa6ceb8ac28d0c2602166d,"polarizado, negativo"
Mirando los mapas del #Brexit por @jakeybob https://t.co/nT68iBtRn1,d48aba9d3cba975073972d4a98ec47d0,neutral
AVISO MUY IMPORTANTE: Cambiamos la fecha/hora del evento de #RLadiesMAD al 24 de octubre a las 19:30!! https://t.co/efHDelrsfn,d8bb3b8e61ab5b47bca5749a4b12cdcd,neutral
Confirmado el sitio para el primer evento de R-Ladies!!! Gracias @CampusMadrid !!! https://t.co/a9XaT0ap08,db711e2c9390c13ff565f2c669f61807,"polarizado, positivo"
#RLadiesMadrid está creciendo!! No olvidéis de nuestra reunión de octubre!! https://t.co/YE9s9YZPF7,e058129246a5a6c594507cc01aeae74e,neutral
https://t.co/0FKmwJfct7 acaba de abrir!!! Muy muy contentas de que la comunidad esté creciendo tanto!!,e27ced9cc9e22a5273c261626387c67a,neutral
Para crear paletas de color para visualizaciones: https://t.co/iSYusRxNHm https://t.co/sV5vjZ5adU,ec299b50c87fdd25b035464bb47b89d0,neutral
WOW!!! Y los que quedan!!! https://t.co/6RGeIMuOyJ,ef108efd733565507269a3f07ff7a419,neutral
"Aquí está nuestro primer evento! 25 de octubre, apuntad el día! https://t.co/efHDelrsfn",f659ca7c53da0e056aacced9b61f871b,"polarizado, positivo"
¡Muy feliz por poder anunciar que R-Ladies Madrid está online y a tope! https://t.co/SQ6lYiltz2,fe248341688694338ef7696779483200,neutral
